Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729741846451,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,59,58,59,59,57,59,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.14625549316406,68719476736,0,29851951104,0
203,1729741846452,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,59,59,58,59,59,57,59,57,100,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,34.14625549316406,68719476736,0,29851951104,0
199,1729741846656,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,81,60,62,61,60,62,60,42.85714340209961,0,27.272727966308594,0,0,0,0,0,85,0,36.842105865478516,0,15.000000953674316,0,5,0,33.94893264770508,68719476736,0,29851951104,0
199,1729741846856,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,81,60,62,61,60,62,60,21.052631378173828,0,5.263157844543457,0,10,0,10,0,31.57894515991211,0,100,0,25,0,18.18181800842285,0,33.94893264770508,68719476736,0,29851951104,0
204,1729741847056,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,81,60,62,61,60,62,60,10,0,0,0,0,0,0,0,10,0,57.142860412597656,0,25,0,10.526315689086914,0,33.94893264770508,68719476736,0,29851951104,0
202,1729741847261,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,81,60,62,61,60,62,60,42.85714340209961,0,0,0,0,0,0,0,22.72727394104004,0,40,0,4.761904716491699,0,35,0,33.94893264770508,68719476736,0,29935042560,0
203,1729741847463,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,62,81,60,62,61,60,62,60,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,33.94893264770508,68719476736,0,29954813952,0
203,1729741847667,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,64,90,68,67,66,65,65,45,0,20,0,0,0,0,0,4.761904716491699,0,35,0,0,0,0,0,40.2315559387207,68719476736,0,29963534336,0
201,1729741847871,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,64,90,68,67,66,65,65,5,0,66.66667175292969,0,35,0,0,0,0,0,4.761904716491699,0,0,0,4.761904716491699,0,40.2315559387207,68719476736,0,29970329600,0
202,1729741848073,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,64,90,68,67,66,65,65,66.66667175292969,0,0,0,0,0,5.263157844543457,0,15.000000953674316,0,15.000000953674316,0,0,0,19.047618865966797,0,40.2315559387207,68719476736,0,29970329600,0
204,1729741848277,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,64,90,68,67,66,65,65,5,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,100,0,40.2315559387207,68719476736,0,29983662080,0
201,1729741848481,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,64,90,68,67,66,65,65,14.285715103149414,0,0,0,0,0,0,0,5.263157844543457,0,50,0,19.047618865966797,0,40,0,40.2315559387207,68719476736,0,29989838848,0
204,1729741848683,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,68,95,66,67,65,65,10,0,0,0,10,0,0,0,13.636363983154297,0,5,0,85.71428680419922,0,9.523809432983398,0,69.78131866455078,68719476736,0,30008795136,0
199,1729741848888,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,68,95,66,67,65,65,5,0,0,0,100,0,0,0,5.263157844543457,0,9.090909004211426,0,0,0,0,0,69.78131866455078,68719476736,0,30081712128,0
199,1729741849088,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,68,95,66,67,65,65,15.000000953674316,0,0,0,57.894737243652344,0,0,0,28.571430206298828,0,10,0,35,0,0,0,69.78131866455078,68719476736,0,30468030464,0
204,1729741849288,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,68,95,66,67,65,65,15.000000953674316,0,0,0,0,0,0,0,0,0,5.263157844543457,0,100,0,4.761904716491699,0,69.78131866455078,68719476736,0,30840946688,0
204,1729741849493,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,68,95,66,67,65,65,5,0,0,0,0,0,0,0,4.761904716491699,0,0,0,100,0,0,0,69.78131866455078,68719476736,0,30845349888,0
204,1729741849698,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,69,100,66,68,66,65,9.090909004211426,0,0,0,0,0,0,0,4.761904716491699,0,4.761904716491699,0,100,0,0,0,65.11253356933594,68719476736,0,30845349888,0
201,1729741849903,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,69,100,66,68,66,65,5,0,0,0,0,0,0,0,0,0,9.523809432983398,0,100,0,0,0,65.11253356933594,68719476736,0,30845349888,0
203,1729741850105,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,69,100,66,68,66,65,10,0,14.285715103149414,0,0,0,0,0,14.285715103149414,0,40,0,52.38095474243164,0,0,0,65.11253356933594,68719476736,0,30845349888,0
203,1729741850309,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,70,69,100,66,68,66,65,5,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,65.11253356933594,68719476736,0,31273627648,0
200,1729741850513,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,71,68,69,69,67,99,67,9.523809432983398,0,0,0,23.809524536132813,0,0,0,85.71428680419922,0,5,0,0,0,4.761904716491699,0,65.11253356933594,68719476736,0,31378907136,0
200,1729741850714,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,71,68,69,69,67,99,67,30.000001907348633,0,0,0,75,0,0,0,5,0,0,0,0,0,0,0,73.44843292236328,68719476736,0,31484788736,0
199,1729741850914,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,71,68,69,69,67,99,67,10,0,0,0,0,0,0,0,100,0,9.523809432983398,0,0,0,0,0,73.44843292236328,68719476736,0,31484788736,0
199,1729741851114,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,71,68,69,69,67,99,67,60.000003814697266,15.000000953674316,20,15.000000953674316,15.000000953674316,15.000000953674316,20,15.000000953674316,60.000003814697266,15.000000953674316,21.052631378173828,15.000000953674316,22.72727394104004,15.789472579956055,19.047618865966797,15.000000953674316,73.44843292236328,68719476736,0,31484788736,0
199,1729741851314,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,70,71,68,69,69,67,99,67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73.44843292236328,68719476736,0,29990580224,0
12,1729741851514,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,65,66,66,64,66,73,10,0,19.047618865966797,4.761904716491699,52.38095474243164,4.761904716491699,50,4.761904716491699,5.263157844543457,0,5,0,5,0,5,0,73.44843292236328,68719476736,0,29982871552,0
